iter	RMSE
0	14.64133137
1	14.25128869
2	13.86998379
3	13.54620684
4	13.19104964
5	12.86547865
6	12.57454466
7	12.35792431
8	12.03686066
9	11.75273399
10	11.4770678
11	11.20653931
12	10.94564684
13	10.68253603
14	10.45086484
15	10.23329428
16	10.05652014
17	9.864784682
18	9.673775357
19	9.485649747
20	9.297455048
21	9.110270109
22	8.950450988
23	8.794809815
24	8.651257927
25	8.506482478
26	8.378987339
27	8.240594707
28	8.130546003
29	8.000467445
30	7.897020641
31	7.778921247
32	7.671376982
33	7.563704448
34	7.464128137
35	7.365644524
36	7.278602616
37	7.193158097
38	7.107454141
39	7.02798379
40	6.962128098
41	6.895568035
42	6.820075989
43	6.757830982
44	6.694915869
45	6.644968899
46	6.589484394
47	6.528526516
48	6.47654484
49	6.430131998
50	6.376543107
51	6.335659454
52	6.301885474
53	6.256666015
54	6.217423813
55	6.183617288
56	6.150875888
57	6.116951093
58	6.092474624
59	6.062439686
60	6.029688184
61	5.994766647
62	5.961280848
63	5.937065004
64	5.913933897
65	5.890834693
66	5.86750447
67	5.848933861
68	5.820022228
69	5.791680528
70	5.773137234
71	5.748096204
72	5.732246032
73	5.717004174
74	5.701874313
75	5.680016966
76	5.663241479
77	5.644812729
78	5.631865428
79	5.614314625
80	5.599358687
81	5.581148182
82	5.562720742
83	5.547966612
84	5.531466011
85	5.518602472
86	5.507599564
87	5.49823222
88	5.487300661
89	5.477513403
90	5.466526792
91	5.454007715
92	5.44264906
93	5.430918085
94	5.419877653
95	5.408442954
96	5.404753275
97	5.396870628
98	5.388964785
99	5.381803939
100	5.371365047
101	5.363068709
102	5.352424453
103	5.341751148
104	5.333630428
105	5.324186882
106	5.314861142
107	5.304944116
108	5.295013743
109	5.289534132
110	5.284626666
111	5.279524232
112	5.269881247
113	5.262164188
114	5.254004365
115	5.242624346
116	5.238909289
117	5.233368775
118	5.224052638
119	5.217908843
120	5.20870188
121	5.203304278
122	5.197848084
123	5.192526266
124	5.185588254
125	5.17777574
126	5.173875365
127	5.171319356
128	5.167868345
129	5.161482713
130	5.154738402
131	5.150635695
132	5.144380243
133	5.140092658
134	5.133972701
135	5.12760301
136	5.122678791
137	5.118103463
138	5.113266099
139	5.108190723
140	5.103861258
141	5.096999064
142	5.093121799
143	5.089434281
144	5.085940897
145	5.078442244
146	5.07274815
147	5.067854183
148	5.064022698
149	5.058934014
150	5.054131076
151	5.05073199
152	5.044991697
153	5.040514292
154	5.034186595
155	5.03236919
156	5.028347541
157	5.021355597
158	5.015199976
159	5.01236985
160	5.00972013
161	5.005140298
162	5.001484573
163	4.999459957
164	4.993681947
165	4.988853623
166	4.982767297
167	4.978777009
168	4.97406521
169	4.971278131
170	4.968025832
171	4.965118849
172	4.959872804
173	4.957162931
174	4.952005506
175	4.949699733
176	4.946041096
177	4.941470316
178	4.934490846
179	4.931779299
180	4.928922879
181	4.924074547
182	4.917715857
183	4.914752768
184	4.911456347
185	4.90627966
186	4.902154034
187	4.898760176
188	4.89471268
189	4.892143547
190	4.888962818
191	4.885816021
192	4.882242689
193	4.880850593
194	4.877787755
195	4.875647107
196	4.8678769
197	4.862394995
198	4.85758737
199	4.852720411
200	4.849254274
201	4.846211239
202	4.842667442
203	4.839376413
204	4.834879906
205	4.832783929
206	4.828934654
207	4.8255205
208	4.820379297
209	4.815108636
210	4.81162889
211	4.808484503
212	4.804341567
213	4.798717289
214	4.795112215
215	4.792640259
216	4.788892787
217	4.786517021
218	4.784478991
219	4.779808273
220	4.77534028
221	4.772646445
222	4.771884066
223	4.768040009
224	4.763957141
225	4.759716513
226	4.755504211
227	4.750489498
228	4.747524441
229	4.742950866
230	4.741562862
231	4.737623878
232	4.731943147
233	4.728076332
234	4.725713481
235	4.723102379
236	4.719346096
237	4.71380539
238	4.709512795
239	4.706748006
240	4.704179904
241	4.699809675
242	4.699104164
243	4.693224293
244	4.689750293
245	4.682033501
246	4.679058654
247	4.677244426
248	4.672690752
249	4.670963051
250	4.669522619
251	4.664642161
252	4.659536237
253	4.654376023
254	4.652718194
255	4.647857585
256	4.645143674
257	4.643023433
258	4.641448819
259	4.638705258
260	4.633424968
261	4.627421739
262	4.623660678
263	4.621530117
264	4.618087146
265	4.615660451
266	4.611485997
267	4.60858967
268	4.605823735
269	4.60205622
270	4.598825353
271	4.596398583
272	4.593910746
273	4.590436804
274	4.583361497
275	4.577604353
276	4.571923907
277	4.568334722
278	4.56543832
279	4.559590648
280	4.556835393
281	4.554071054
282	4.549650532
283	4.547384643
284	4.542721526
285	4.540153863
286	4.539108619
287	4.536633537
288	4.532048438
289	4.527039965
290	4.526371783
291	4.524450238
292	4.518598194
293	4.513388746
294	4.509241776
295	4.505882787
296	4.502007572
297	4.498883447
298	4.495298098
299	4.491015111
300	4.486379767
301	4.48066373
302	4.477034333
303	4.471768543
304	4.467328586
305	4.466858965
306	4.464272016
307	4.463679749
308	4.460308333
309	4.459211841
310	4.45451402
311	4.451899551
312	4.44890848
313	4.44485597
314	4.440088545
315	4.435175388
316	4.433339676
317	4.429029936
318	4.427082472
319	4.422197044
320	4.420440645
321	4.418684084
322	4.416363951
323	4.410255777
324	4.407518886
325	4.403215269
326	4.39881702
327	4.395496676
328	4.391645159
329	4.388300701
330	4.385127323
331	4.38151326
332	4.378344773
333	4.375755621
334	4.372618755
335	4.368958223
336	4.36521504
337	4.363551
338	4.362451465
339	4.357697593
340	4.356022786
341	4.351060291
342	4.35043484
343	4.345285069
344	4.343736447
345	4.341936724
346	4.338179106
347	4.334271638
348	4.333416151
349	4.331458848
350	4.329222433
351	4.326080328
352	4.323039644
353	4.319247168
354	4.317893617
355	4.314071621
356	4.312789034
357	4.308393983
358	4.305027707
359	4.303486933
360	4.301645774
361	4.299175137
362	4.297547513
363	4.295338049
364	4.2906804
365	4.286083394
366	4.285180674
367	4.279668422
368	4.276762919
369	4.27256575
370	4.268762808
371	4.266046648
372	4.26461467
373	4.260412411
374	4.255973776
375	4.252888822
376	4.247515569
377	4.243239542
378	4.239784914
379	4.234595093
380	4.230448486
381	4.229036665
382	4.226472232
383	4.225820638
384	4.225420749
385	4.223926988
386	4.223508923
387	4.220902938
388	4.220285468
389	4.21774951
390	4.213364602
391	4.209090217
392	4.205012653
393	4.2041413
394	4.201582651
395	4.200927872
396	4.200041564
